GARD:0000001 ! GRACILE syndrome	ORPHANET:53693	OMIM:603358 ! GRACILE syndrome
GARD:0000048 ! Mitochondrial complex IV deficiency	UMLS:C0268237	OMIM:220110 ! cytochrome-c oxidase deficiency disease
GARD:0000049 ! De Barsy syndrome	ORPHANET:2962	OMIM:219150 ! Cutis Laxa, Autosomal Recessive, Type 3A,Orphanet:2962 ! De Barsy syndrome
GARD:0000054 ! Duodenal atresia	ORPHANET:1203	OMIM:223400 ! Duodenal atresia
GARD:0000059 ! Spinocerebellar ataxia 34	ORPHANET:1955	OMIM:133190 ! spinocerebellar ataxia type 34
GARD:0000059 ! Spinocerebellar ataxia 34	UMLS:C1851481	OMIM:133190 ! spinocerebellar ataxia type 34
GARD:0000060 ! Iridocorneal endothelial syndrome	ORPHANET:64734	Orphanet:64734 ! Iridocorneal endothelial syndrome
GARD:0000061 ! Femoral facial syndrome	ORPHANET:1988	OMIM:134780 ! Femoral-facial syndrome
GARD:0000062 ! Filippi syndrome	ORPHANET:3255	OMIM:272440 ! Filippi syndrome
GARD:0000064 ! Fountain syndrome	ORPHANET:3219	OMIM:229120 ! Fountain syndrome
GARD:0000065 ! Microcephaly, hiatal hernia and nephrotic syndrome	ORPHANET:2065	DOID:0060364 ! Galloway-Mowat syndrome,OMIM:251300 ! Galloway-Mowat Syndrome
GARD:0000065 ! Microcephaly, hiatal hernia and nephrotic syndrome	UMLS:C0795949	DOID:0060364 ! Galloway-Mowat syndrome,OMIM:251300 ! Galloway-Mowat Syndrome
GARD:0000066 ! Gorlin Chaudhry Moss syndrome	ORPHANET:2095	OMIM:233500 ! Gorlin-Chaudhry-Moss syndrome
GARD:0000068 ! Hanhart syndrome	ORPHANET:989	OMIM:103300 ! Hypoglossia-Hypodactylia,Orphanet:989 ! Hypoglossia - hypodactyly
GARD:0000069 ! Hantavirus pulmonary syndrome	UMLS:C0243025	DOID:14472 ! hantavirus pulmonary syndrome
GARD:0000070 ! Hemangioma thrombocytopenia syndrome	ORPHANET:2330	OMIM:141000 ! Kasabach-Merritt syndrome
GARD:0000071 ! Human granulocytic ehrlichiosis	UMLS:C0483368	DOID:0050025 ! human granulocytic anaplasmosis
GARD:0000073 ! Immunodeficiency with hyper IgM type 1	OMIM:605258 ! Hyper-IgM syndrome type 2	DOID:0060022 ! CD40 ligand deficiency,OMIM:308230 ! Immunodeficiency With Hyper-Igm, Type 1
GARD:0000073 ! Immunodeficiency with hyper IgM type 1	OMIM:606843 ! Hyper-IgM syndrome type 3	DOID:0060022 ! CD40 ligand deficiency,OMIM:308230 ! Immunodeficiency With Hyper-Igm, Type 1
GARD:0000073 ! Immunodeficiency with hyper IgM type 1	OMIM:608106 ! Hyper-IgM syndrome type 5	DOID:0060022 ! CD40 ligand deficiency,OMIM:308230 ! Immunodeficiency With Hyper-Igm, Type 1
GARD:0000073 ! Immunodeficiency with hyper IgM type 1	OMIM:608184 ! Hyper-IgM syndrome type 4	DOID:0060022 ! CD40 ligand deficiency,OMIM:308230 ! Immunodeficiency With Hyper-Igm, Type 1
GARD:0000073 ! Immunodeficiency with hyper IgM type 1	ORPHANET:101088	DOID:0060022 ! CD40 ligand deficiency,OMIM:308230 ! Immunodeficiency With Hyper-Igm, Type 1
GARD:0000079 ! Jansen type metaphyseal chondrodysplasia	ORPHANET:33067	OMIM:156400 ! Jansen's metaphyseal chondrodysplasia
GARD:0000079 ! Jansen type metaphyseal chondrodysplasia	UMLS:C0265295	OMIM:156400 ! Jansen's metaphyseal chondrodysplasia
GARD:0000080 ! Johanson-Blizzard syndrome	ORPHANET:2315	MESH:C535880 ! Johanson Blizzard syndrome,OMIM:147791 ! Jacobsen syndrome,OMIM:243800 ! Johanson-Blizzard syndrome
GARD:0000081 ! Juberg Marsidi syndrome	ORPHANET:93972	OMIM:309580 ! Mental Retardation-Hypotonic Facies Syndrome, X-Linked, 1,Orphanet:93972 ! Juberg-Marsidi syndrome
GARD:0000082 ! KBG syndrome	ORPHANET:2332	OMIM:148050 ! KBG syndrome
GARD:0000082 ! KBG syndrome	UMLS:C0220687	OMIM:148050 ! KBG syndrome
GARD:0000083 ! Kenny-Caffey syndrome type 2	ORPHANET:93325	OMIM:127000 ! Kenny-Caffey Syndrome, Type 2
GARD:0000083 ! Kenny-Caffey syndrome type 2	UMLS:C0265291	OMIM:127000 ! Kenny-Caffey Syndrome, Type 2
GARD:0000084 ! Congenital generalized lipodystrophy type 1	UMLS:C1720862	OMIM:608594 ! Lipodystrophy, Congenital Generalized, Type 1
GARD:0000085 ! Thanatophoric dysplasia	ORPHANET:2655	DOID:13481 ! thanatophoric dysplasia,OMIM:187600 ! Thanatophoric Dysplasia, Type 1
GARD:0000087 ! Lenz microphthalmia syndrome	ORPHANET:568	OMIM:309800 ! Microphthalmia, Syndromic 1,Orphanet:568 ! Microphthalmia, Lenz type
GARD:0000088 ! Leri pleonosteosis	ORPHANET:2900	OMIM:151200 ! Leri pleonosteosis
GARD:0000092 ! Meleda disease	ORPHANET:87503	OMIM:248300 ! Mal de Meleda
GARD:0000092 ! Meleda disease	UMLS:C0025221	OMIM:248300 ! Mal de Meleda
GARD:0000093 ! Monilethrix	OMIM:252200	OMIM:158000 ! monilethrix
GARD:0000093 ! Monilethrix	ORPHANET:573	OMIM:158000 ! monilethrix
GARD:0000093 ! Monilethrix	UMLS:C0546966	OMIM:158000 ! monilethrix
GARD:0000094 ! Mucolipidosis type 4	ORPHANET:578	DOID:2368 ! gangliosidosis,OMIM:252650 ! Mucolipidosis type 4
GARD:0000095 ! Mulibrey Nanism	ORPHANET:2576	OMIM:253250 ! mulibrey nanism
GARD:0000095 ! Mulibrey Nanism	UMLS:C0524582	OMIM:253250 ! mulibrey nanism
GARD:0000101 ! Centronuclear myopathy	ORPHANET:595	DOID:14717 ! centronuclear myopathy,OMIA:001374 ! Myopathy, centronuclear
GARD:0000102 ! Neu Laxova syndrome	ORPHANET:2671	DC:0000672 ! Neu-Laxova Syndrome,OMIM:256520 ! Neu-Laxova syndrome 1
GARD:0000102 ! Neu Laxova syndrome	UMLS:C0265218	DC:0000672 ! Neu-Laxova Syndrome,OMIM:256520 ! Neu-Laxova syndrome 1
GARD:0000104 ! Ochoa syndrome	ORPHANET:2704	DOID:0050816 ! urofacial syndrome,OMIM:236730 ! Urofacial Syndrome 1
GARD:0000104 ! Ochoa syndrome	UMLS:C0403555	DOID:0050816 ! urofacial syndrome,OMIM:236730 ! Urofacial Syndrome 1
GARD:0000105 ! Oculocerebral syndrome with hypopigmentation	ORPHANET:2719	OMIM:257800 ! Oculocerebral Syndrome With Hypopigmentation
GARD:0000106 ! Oculocerebrocutaneous syndrome	ORPHANET:1647	OMIM:164180 ! Oculocerebrocutaneous syndrome
GARD:0000108 ! Polyglucosan body disease, adult	ORPHANET:206583	OMIM:263570 ! Polyglucosan Body Neuropathy, Adult Form,Orphanet:206583 ! Adult polyglucosan body disease
GARD:0000108 ! Polyglucosan body disease, adult	UMLS:C1849722	OMIM:263570 ! Polyglucosan Body Neuropathy, Adult Form,Orphanet:206583 ! Adult polyglucosan body disease
GARD:0000109 ! Progressive osseous heteroplasia	ORPHANET:2762	OMIM:166350 ! Progressive osseous heteroplasia
GARD:0000111 ! Recurrent respiratory papillomatosis	ORPHANET:60032	Orphanet:60032 ! Recurrent respiratory papillomatosis
GARD:0000114 ! X-linked Charcot-Marie-Tooth disease type 5	ORPHANET:99014	Orphanet:99014 ! X-linked Charcot-Marie-Tooth disease type 5
GARD:0000114 ! X-linked Charcot-Marie-Tooth disease type 5	UMLS:C1839566	Orphanet:99014 ! X-linked Charcot-Marie-Tooth disease type 5
GARD:0000115 ! Sakati syndrome	ORPHANET:3128	MESH:C537227 ! Sakati syndrome,OMIM:101120 ! Sakati-Nyhan syndrome
GARD:0000116 ! Schindler disease type 1	ORPHANET:79279	OMIM:609241 ! Schindler Disease, Type 1
GARD:0000116 ! Schindler disease type 1	UMLS:C1836544	OMIM:609241 ! Schindler Disease, Type 1
GARD:0000117 ! Schinzel Giedion syndrome	ORPHANET:798	MESH:C536632 ! Schinzel-Giedion syndrome,OMIM:182212 ! Shprintzen-Goldberg Craniosynostosis Syndrome,OMIM:269150 ! Schinzel-Giedion Midface Retraction Syndrome,Orphanet:798 ! Schinzel-Giedion syndrome
GARD:0000118 ! Ulnar-mammary syndrome	ORPHANET:3138	OMIM:181450 ! Ulnar-mammary syndrome
GARD:0000120 ! Sennetsu Fever	UMLS:C0520779	DOID:0050485 ! sennetsu fever
GARD:0000121 ! Facial ectodermal dysplasia	ORPHANET:1807	MESH:C536385 ! Facial ectodermal dysplasia,OMIM:227260 ! Focal Facial Dermal Dysplasia 3, Setleis Type
GARD:0000121 ! Facial ectodermal dysplasia	UMLS:C1744559	MESH:C536385 ! Facial ectodermal dysplasia,OMIM:227260 ! Focal Facial Dermal Dysplasia 3, Setleis Type
GARD:0000122 ! Singleton Merten syndrome	OMIM:182250 ! Singleton-Merten Syndrome 1	DC:0000703 ! Singleton-Merten Syndrome
GARD:0000122 ! Singleton Merten syndrome	ORPHANET:85191	DC:0000703 ! Singleton-Merten Syndrome
GARD:0000122 ! Singleton Merten syndrome	UMLS:C0432254	DC:0000703 ! Singleton-Merten Syndrome
GARD:0000125 ! Acrokeratoelastoidosis of Costa	ORPHANET:38	OMIM:101850 ! punctate palmoplantar keratoderma type III
GARD:0000125 ! Acrokeratoelastoidosis of Costa	UMLS:C0545044	OMIM:101850 ! punctate palmoplantar keratoderma type III
GARD:0000127 ! Summitt syndrome	ORPHANET:3210	OMIM:272350 ! Summitt syndrome
GARD:0000130 ! Florid cystic endosalpingiosis of the uterus	UMLS:C2931410	MESH:C537064 ! Florid cystic endosalpingiosis of the uterus
GARD:0000131 ! Myeloid sarcoma	UMLS:C0152276	DOID:8683 ! myeloid sarcoma
GARD:0000132 ! Amyloidosis primary cutaneous	ORPHANET:137807	DOID:0050639 ! primary cutaneous amyloidosis
GARD:0000133 ! Aganglionosis, total intestinal	ORPHANET:99740	DOID:10487 ! Hirschsprung's disease,OMIM:202550 ! Aganglionosis, Total Intestinal
GARD:0000134 ! Spondyloepimetaphyseal dysplasia Strudwick type	ORPHANET:93346	OMIM:184250 ! spondyloepimetaphyseal dysplasia, Strudwick type
GARD:0000136 ! Dextrocardia with unusual facies and microphthalmia	UMLS:C1857298	OMIM:221950 ! Dextrocardia With Unusual Facies and Microphthalmia
GARD:0000139 ! Atrial myxoma, familial	ORPHANET:615	OMIM:255960 ! Familial atrial myxoma
GARD:0000140 ! Atresia of small intestine	ORPHANET:1201	Orphanet:1201 ! Atresia of small intestine
GARD:0000143 ! Hairy elbows	ORPHANET:2220	OMIM:139600 ! Hairy Elbows
GARD:0000144 ! Mac Dermot Winter syndrome	ORPHANET:2083	OMIM:247990 ! Macdermot-Winter Syndrome
GARD:0000144 ! Mac Dermot Winter syndrome	UMLS:C0796024	OMIM:247990 ! Macdermot-Winter Syndrome
GARD:0000147 ! Macrocephaly, benign familial	UMLS:C0220690	OMIM:153470 ! Macrocephaly, Benign Familial
GARD:0000148 ! Mental retardation, macrocephaly, short stature and craniofacial dysmorphism	OMIM:248000 ! Macrocephaly/Megalencephaly Syndrome, Autosomal Recessive	MESH:C537453 ! Mental retardation, macrocephaly, short stature and craniofacial dysmorphism
GARD:0000148 ! Mental retardation, macrocephaly, short stature and craniofacial dysmorphism	UMLS:C2931497	MESH:C537453 ! Mental retardation, macrocephaly, short stature and craniofacial dysmorphism
GARD:0000149 ! Prostatic malacoplakia associated with prostatic abscess	UMLS:C2931457	MESH:C537244 ! Prostatic malacoplakia associated with prostatic abscess
GARD:0000151 ! Samson Gardner syndrome	UMLS:C2931448	MESH:C537230 ! Samson Gardner syndrome
GARD:0000152 ! Samson Viljoen syndrome	UMLS:C2931449	MESH:C537231 ! Samson Viljoen syndrome
GARD:0000153 ! Sanderson Fraser syndrome	UMLS:C2931450	MESH:C537232 ! Sanderson Fraser syndrome
GARD:0000154 ! Sandhaus Ben-Ami syndrome	UMLS:C2931451	MESH:C537233 ! Sandhaus Ben-Ami syndrome
GARD:0000155 ! Laurin-Sandrow syndrome	ORPHANET:2378	OMIM:135750 ! Laurin-Sandrow syndrome
GARD:0000156 ! Muscle eye brain disease	ORPHANET:588	Orphanet:588 ! Muscle-eye-brain disease
GARD:0000158 ! Sarcosinemia	ORPHANET:3129	OMIM:268900 ! Sarcosinemia
GARD:0000159 ! Scalp ear nipple syndrome	ORPHANET:2036	OMIM:181270 ! Scalp-ear-nipple syndrome
GARD:0000160 ! Satoyoshi syndrome	ORPHANET:3130	OMIM:600705 ! Satoyoshi Syndrome
GARD:0000160 ! Satoyoshi syndrome	UMLS:C1833454	OMIM:600705 ! Satoyoshi Syndrome
GARD:0000161 ! Saul Wilkes Stevenson syndrome	UMLS:C2931266	MESH:C536617 ! Saul Wilkes Stevenson syndrome
GARD:0000162 ! Say syndrome	ORPHANET:2013	OMIM:181180 ! Say Syndrome
GARD:0000162 ! Say syndrome	UMLS:C1867023	OMIM:181180 ! Say Syndrome
GARD:0000166 ! Schizencephaly	ORPHANET:799	OMIM:269160 ! Schizencephaly
GARD:0000169 ! Schneckenbecken dysplasia	ORPHANET:3144	OMIM:269250 ! schneckenbecken dysplasia
GARD:0000169 ! Schneckenbecken dysplasia	UMLS:C0432194	OMIM:269250 ! schneckenbecken dysplasia
GARD:0000170 ! Macrocephaly mesodermal hamartoma spectrum	OMIM:176920 ! Proteus syndrome	MESH:C537716 ! Macrocephaly mesodermal hamartoma spectrum
GARD:0000170 ! Macrocephaly mesodermal hamartoma spectrum	UMLS:C1867610	MESH:C537716 ! Macrocephaly mesodermal hamartoma spectrum
GARD:0000171 ! Le Marec Bracq Picaud syndrome	UMLS:C2931385	MESH:C536997 ! Le Marec Bracq Picaud syndrome
GARD:0000172 ! Macrocephaly, mental retardation, short stature, spastic paraplegia and CNS malformations	UMLS:C2931595	MESH:C537718 ! Volcke Soekarman syndrome
GARD:0000174 ! Macrogyria, pseudobulbar palsy and mental retardation	UMLS:C2931598	MESH:C537722 ! Macrogyria, pseudobulbar palsy and mental retardation
GARD:0000177 ! Macrosomia with lethal microphthalmia	ORPHANET:2432	OMIM:248110 ! Macrosomia With Microphthalmia, Lethal
GARD:0000177 ! Macrosomia with lethal microphthalmia	UMLS:C1855467	OMIM:248110 ! Macrosomia With Microphthalmia, Lethal
GARD:0000178 ! MOMO syndrome	ORPHANET:2563	OMIM:157980 ! MOMO syndrome
GARD:0000181 ! Stargardt disease	ORPHANET:827	DOID:0050817 ! Stargardt disease,OMIM:248200 ! Stargardt Disease 1
GARD:0000181 ! Stargardt disease	UMLS:C0271093	DOID:0050817 ! Stargardt disease,OMIM:248200 ! Stargardt Disease 1
GARD:0000182 ! Best vitelliform macular dystrophy	ORPHANET:1243	OMIM:153700 ! Macular Dystrophy, Vitelliform, 2,Orphanet:1243 ! Best vitelliform macular dystrophy
GARD:0000183 ! Bubonic plague	UMLS:C0282312	DOID:10773 ! bubonic plague
GARD:0000184 ! Yellow nail syndrome	ORPHANET:662	OMIM:153300 ! yellow nail syndrome
GARD:0000184 ! Yellow nail syndrome	UMLS:C0221348	OMIM:153300 ! yellow nail syndrome
GARD:0000185 ! Y chromosome infertility	OMIM:400003	MESH:C580551 ! Y Chromosome Infertility
GARD:0000188 ! N acetyltransferase deficiency	OMIM:108345	MESH:C536107 ! N acetyltransferase deficiency
GARD:0000188 ! N acetyltransferase deficiency	UMLS:C2931113	MESH:C536107 ! N acetyltransferase deficiency
GARD:0000189 ! Elliott Ludman Teebi syndrome	UMLS:C2931128	MESH:C536204 ! Elliott Ludman Teebi syndrome
GARD:0000191 ! Kashani Strom Utley syndrome	UMLS:C2931392	MESH:C537010 ! Kashani Strom Utley syndrome
GARD:0000192 ! Karandikar Maria Kamble syndrome	UMLS:C2931391	MESH:C537009 ! Karandikar Maria Kamble syndrome
GARD:0000193 ! Opitz G/BBB syndrome	ORPHANET:2745	DOID:0050780 ! Opitz-GBBB syndrome,OMIM:145410 ! Opitz Gbbb Syndrome, Type 2
GARD:0000194 ! Gamma aminobutyric acid transaminase deficiency	OMIM:137150	DOID:0060174 ! GABA aminotransferase deficiency,OMIM:613163 ! Gaba-Transaminase Deficiency
GARD:0000194 ! Gamma aminobutyric acid transaminase deficiency	ORPHANET:2066	DOID:0060174 ! GABA aminotransferase deficiency,OMIM:613163 ! Gaba-Transaminase Deficiency
GARD:0000194 ! Gamma aminobutyric acid transaminase deficiency	UMLS:C0342708	DOID:0060174 ! GABA aminotransferase deficiency,OMIM:613163 ! Gaba-Transaminase Deficiency
GARD:0000195 ! Hyperkalemic periodic paralysis	ORPHANET:682	OMIM:170500 ! hyperkalemic periodic paralysis
GARD:0000196 ! St Anthony's fire	UMLS:C0014714	MESH:D004881 ! Ergotism
GARD:0000198 ! Spinal muscular atrophy type 3	ORPHANET:83419	OMIM:253400 ! juvenile spinal muscular atrophy,Orphanet:83419 ! Proximal spinal muscular atrophy type 3
GARD:0000198 ! Spinal muscular atrophy type 3	UMLS:C0152109	OMIM:253400 ! juvenile spinal muscular atrophy,Orphanet:83419 ! Proximal spinal muscular atrophy type 3
GARD:0000200 ! Central serous chorioretinopathy	UMLS:C0730328	MESH:D056833 ! Central Serous Chorioretinopathy
GARD:0000201 ! Ascher Syndrome	ORPHANET:1253	OMIM:109900 ! Ascher syndrome
GARD:0000204 ! Dieterich's disease	UMLS:C2931124	MESH:C536172 ! Dieterich's disease
GARD:0000208 ! Giant mammary hamartoma	UMLS:C2931343	MESH:C536818 ! Giant mammary hamartoma
GARD:0000210 ! Ruzicka Goerz Anton syndrome	UMLS:C2931438	MESH:C537192 ! Ruzicka Goerz Anton syndrome
GARD:0000212 ! Rutherfurd syndrome	ORPHANET:2709	OMIM:180900 ! Rutherfurd Syndrome
GARD:0000212 ! Rutherfurd syndrome	UMLS:C0796140	OMIM:180900 ! Rutherfurd Syndrome
GARD:0000215 ! Rudd Klimek syndrome	UMLS:C2931053	Orphanet:1768 ! Familial caudal dysgenesis
GARD:0000216 ! Rozin Hertz Goodman syndrome	ORPHANET:1323	OMIM:602612 ! Camptodactyly, Myopia, and Fibrosis of the Medial Rectus Muscle of Eye
GARD:0000217 ! Roy Maroteaux Kremp syndrome	UMLS:C1855164	OMIM:250500 ! Metaphyseal Modeling Abnormality, Skin Lesions, and Spastic Paraplegia
GARD:0000218 ! Rotor syndrome	ORPHANET:3111	OMIM:237450 ! Rotor syndrome
GARD:0000220 ! Peripartum cardiomyopathy	ORPHANET:563	DOID:9997 ! peripartum cardiomyopathy,OMIM:614670 ! Peripartum Cardiomyopathy, Susceptibility to
GARD:0000220 ! Peripartum cardiomyopathy	UMLS:C0877208	DOID:9997 ! peripartum cardiomyopathy,OMIM:614670 ! Peripartum Cardiomyopathy, Susceptibility to
GARD:0000221 ! Dilated cardiomyopathy	ORPHANET:217604	DOID:12930 ! dilated cardiomyopathy,MESH:D002311 ! Cardiomyopathy, Dilated,OMIA:000162 ! Cardiomyopathy, dilated,OMIA:000162-9615 ! Dilated cardiomyopathy,OMIM:600884 ! Cardiomyopathy, Dilated, 1B
GARD:0000226 ! Rabson-Mendenhall syndrome	ORPHANET:769	OMIM:262190 ! Rabson-Mendenhall syndrome
GARD:0000229 ! Gomez Lopez Hernandez syndrome	ORPHANET:1532	OMIM:601853 ! Cerebellotrigeminal Dermal Dysplasia
GARD:0000229 ! Gomez Lopez Hernandez syndrome	UMLS:C0795959	OMIM:601853 ! Cerebellotrigeminal Dermal Dysplasia
GARD:0000230 ! Microcephaly deafness syndrome	ORPHANET:2533	OMIM:156620 ! Microcephaly-Deafness Syndrome
GARD:0000230 ! Microcephaly deafness syndrome	UMLS:C0796062	OMIM:156620 ! Microcephaly-Deafness Syndrome
GARD:0000231 ! Leukoencephalopathy with vanishing white matter	ORPHANET:135	OMIM:603896 ! Leukoencephalopathy With Vanishing White Matter
GARD:0000232 ! Medullary sponge kidney	OMIM:174000 ! Medullary Cystic Kidney Disease 1	Orphanet:1309 ! Medullary sponge kidney
GARD:0000234 ! D-glycericacidemia	ORPHANET:941	OMIM:220120 ! D-glyceric aciduria
GARD:0000237 ! Dahlberg Borer Newcomer syndrome	ORPHANET:1563	OMIM:247410 ! Lymphedema-Hypoparathyroidism Syndrome,Orphanet:1563 ! Dahlberg-Borer-Newcomer syndrome
GARD:0000238 ! Odontoma dysphagia syndrome	ORPHANET:2724	OMIM:164330 ! Odontoma-Dysphagia Syndrome
GARD:0000238 ! Odontoma dysphagia syndrome	UMLS:C1834013	OMIM:164330 ! Odontoma-Dysphagia Syndrome
GARD:0000239 ! Say Barber Miller syndrome	ORPHANET:3132	OMIM:251240 ! Microcephaly With Chemotactic Defect and Transient Hypogammaglobulinemia,Orphanet:3132 ! Say-Barber-Miller syndrome
GARD:0000241 ! Scalp defects postaxial polydactyly	ORPHANET:1003	OMIM:181250 ! Scalp defects - postaxial polydactyly
GARD:0000242 ! Say-Field-Coldwell syndrome	ORPHANET:3133	OMIM:190650 ! Triphalangeal Thumbs and Dislocation of Patella,Orphanet:3133 ! Say-Field-Coldwell syndrome
GARD:0000243 ! Say Meyer syndrome	ORPHANET:3369	MESH:C536620 ! Say Meyer syndrome,OMIM:314320 ! Trigonocephaly - short stature - developmental delay
GARD:0000243 ! Say Meyer syndrome	UMLS:C1839125	MESH:C536620 ! Say Meyer syndrome,OMIM:314320 ! Trigonocephaly - short stature - developmental delay
GARD:0000246 ! Schisis association	ORPHANET:63862	Orphanet:63862 ! Schisis association
GARD:0000247 ! SCARF syndrome	ORPHANET:3134	OMIM:312830 ! SCARF syndrome
GARD:0000248 ! Schaap Taylor Baraitser syndrome	UMLS:C2931269	MESH:C536626 ! Schaap Taylor Baraitser syndrome
GARD:0000249 ! Schaefer Stein Oshman syndrome	OMIM:122860 ! Craniodiaphyseal Dysplasia, Autosomal Dominant	MESH:C536627 ! Schaefer Stein Oshman syndrome
GARD:0000249 ! Schaefer Stein Oshman syndrome	UMLS:C2931270	MESH:C536627 ! Schaefer Stein Oshman syndrome
GARD:0000250 ! Schwartz Jampel syndrome type 1	ORPHANET:800	OMIM:255800 ! Schwartz-Jampel syndrome
GARD:0000251 ! Charcot-Marie-Tooth disease with ptosis and parkinsonism	MeSH:C538079	OMIM:118301 ! Charcot-Marie-Tooth Disease With Ptosis and Parkinsonism
GARD:0000251 ! Charcot-Marie-Tooth disease with ptosis and parkinsonism	UMLS:C1861668	OMIM:118301 ! Charcot-Marie-Tooth Disease With Ptosis and Parkinsonism
GARD:0000253 ! Schwartz Cohen-Addad Lambert syndrome	UMLS:C2931036	MESH:C535835 ! Schwartz Cohen-Addad Lambert syndrome
GARD:0000255 ! Schlegelberger Grote syndrome	UMLS:C2931273	MESH:C536635 ! Schlegelberger Grote syndrome
GARD:0000256 ! Schrander-Stumpel Theunissen Hulsmans syndrome	UMLS:C2931275	MESH:C536639 ! Schrander-Stumpel Theunissen Hulsmans syndrome
GARD:0000257 ! Scholte syndrome	UMLS:C1866985	OMIM:181515 ! Scholte Syndrome
GARD:0000259 ! Diabetes insipidus nephrogenic mental retardation and intracerebral calcification	ORPHANET:3145	OMIM:221995 ! Diabetes Insipidus, Nephrogenic, With Mental Retardation and Intracerebral Calcification
GARD:0000262 ! Neuropathy ataxia retinitis pigmentosa syndrome	ORPHANET:644	OMIM:551500 ! NARP syndrome
GARD:0000264 ! Lowry Wood syndrome	ORPHANET:1824	OMIM:226960 ! Lowry-Wood syndrome
