ORDR ID:			Disease Name:	Synonym(s):	OMIM Num(s):	Orphanet Num(s):	URL:
84			Congenital generalized lipodystrophy type 1	"Berardinelli-Seip congenital lipodystrophy type 1;Brunzell syndrome, AGPAT2-related;BSCL1"	608594		http://rarediseases.info.nih.gov/gard/84/Congenital-generalized-lipodystrophy-type-1/resources/1
85			Thanatophoric dysplasia	Dwarfism thanatophoric;TD;Thanatophoric Dwarfism	187600	2655	http://rarediseases.info.nih.gov/gard/85/Thanatophoric-dysplasia/resources/1
86			Chudley-Mccullough syndrome	"Deafness, bilateral sensorineural, and hydrocephalus due to foramen of monro obstruction;Deafness, sensorineural, with partial agenesis of the corpus callosum and arachnoid cysts"	604213		http://rarediseases.info.nih.gov/gard/86/Chudley-Mccullough-syndrome/resources/1
87			Lenz microphthalmia syndrome	"Lenz dysplasia;Lenz microphthalmia;MAA (formerly);MCOPS1;Microphthalmia Lenz type;Microphthalmia or anophthalmos with associated anomalies (formerly);Microphthalmia syndromic 1;Microphthalmia, Lenz type;Syndromic microphthalmia type 1"	309800	568	http://rarediseases.info.nih.gov/gard/87/Lenz-microphthalmia-syndrome/resources/1
88			Leri pleonosteosis	Leri type pleonosteosis;Leri's pleonosteosis;Pleonosteosis Leri type	151200	2900	http://rarediseases.info.nih.gov/gard/88/Leri-pleonosteosis/resources/1
89			"Lymphoma, gastric non Hodgkins type"	"Non-Hodgkins gastric Lymphoma;Stomach Lymphoma, Non-Hodgkins type"			"http://rarediseases.info.nih.gov/gard/89/Lymphoma,-gastric-non-Hodgkins-type/resources/1"
91			"Malignant melanoma, childhood"				"http://rarediseases.info.nih.gov/gard/91/Malignant-melanoma,-childhood/resources/1"
92			Meleda disease	Keratosis palmoplantaris transgradiens of Siemens;Keratosis palmoplantaris transgrediens of Siemens;Mal de Meleda;MDM;Transgrediens palmoplantar keratoderma of Siemens	248300	87503	http://rarediseases.info.nih.gov/gard/92/Meleda-disease/resources/1
93			Monilethrix	Moniliform hair syndrome;Nodose hair	158000;252200	573	http://rarediseases.info.nih.gov/gard/93/Monilethrix/resources/1
94			Mucolipidosis type 4	Berman syndrome;Ganglioside neuraminidase deficiency;Ganglioside sialidase deficiency;ML 4			http://rarediseases.info.nih.gov/gard/94/Mucolipidosis-type-4/resources/1
95			Mulibrey Nanism	MULIBREY dwarfism;Muscle-liver-brain-eye nanism;Perheentupa syndrome;Pericardial constriction - growth failure;Pericardial constriction and growth failure	253250	2576	http://rarediseases.info.nih.gov/gard/95/Mulibrey-Nanism/resources/1
98			Myasthenia gravis congenital	Congenital MG;Erb-Goldflam syndrome;Myasthenia gravis pseudoparalytica			http://rarediseases.info.nih.gov/gard/98/Myasthenia-gravis-congenital/resources/1
101			Centronuclear myopathy	"CNM;Myopathy, myotubular"	160150;255200	595	http://rarediseases.info.nih.gov/gard/101/Centronuclear-myopathy/resources/1
102			Neu Laxova syndrome	"3-Phosphoglycerate dehydrogenase deficiency, neonatal form;Neu-Laxova syndrome;NLS"	256520	2671	http://rarediseases.info.nih.gov/gard/102/Neu-Laxova-syndrome/resources/1
104			Ochoa syndrome	Hydronephrosis - inverted smile;Hydronephrosis with peculiar facial expression;Inverted smile - neurogenic bladder;Inverted smile and occult neuropathic bladder;Partial facial palsy with urinary abnormalities;UFS;Urofacial Ochoa's syndrome;Urofacial syndrome	236730	2704	http://rarediseases.info.nih.gov/gard/104/Ochoa-syndrome/resources/1
105			Oculocerebral syndrome with hypopigmentation	"Cross syndrome;Hypopigmentation oculocerebral syndrome Cross type;Kramer syndrome;Oculocerebral hypopigmentation syndrome;Oculocerebral hypopigmentation syndrome, Cross type"	257800	2719	http://rarediseases.info.nih.gov/gard/105/Oculocerebral-syndrome-with-hypopigmentation/resources/1
106			Oculocerebrocutaneous syndrome	Delleman Oorthuys syndrome;Delleman syndrome;Delleman-Oorthuys syndrome;Leichtman-Wood-Rohn syndrome;OCC Syndrome;OCCS;Oculo-cerebro-cutaneous syndrome;Orbital cyst with cerebral and focal dermal malformations	164180	1647	http://rarediseases.info.nih.gov/gard/106/Oculocerebrocutaneous-syndrome/resources/1
107			"Pneumonia, eosinophilic"	Loeffler syndrome;Pulmonary infiltrates with eosinophilia			"http://rarediseases.info.nih.gov/gard/107/Pneumonia,-eosinophilic/resources/1"
108			"Polyglucosan body disease, adult"	"Adult polyglucosan body disease;APBD;Polyglucosan body disease, adult form"	263570	206583	"http://rarediseases.info.nih.gov/gard/108/Polyglucosan-body-disease,-adult/resources/1"
109			Progressive osseous heteroplasia	Ectopic ossification familial type;Familial ectopic ossification;Osteoma cutis;POH	166350	2762	http://rarediseases.info.nih.gov/gard/109/Progressive-osseous-heteroplasia/resources/1
111			Recurrent respiratory papillomatosis	"Adult-onset recurrent respiratory papillomatosis (type);AORRP (type);JORRP (type);Juvenile laryngeal papilloma;Juvenile-onset recurrent respiratory papillomatosis (type);Laryngeal papilloma, recurrent;Respiratory papillomatosis, recurrent;RRP"		60032	http://rarediseases.info.nih.gov/gard/111/Recurrent-respiratory-papillomatosis/resources/1
112			"Respiratory distress syndrome, infant"	Hyaline membrane disease;Infantile respiratory distress syndrome;IRDS;Neonatal respiratory distress syndrome;NRDS;RDS - infants			"http://rarediseases.info.nih.gov/gard/112/Respiratory-distress-syndrome,-infant/resources/1"
113			"Retinopathy, arteriosclerotic"	"Arteriosclerosis, retina"			"http://rarediseases.info.nih.gov/gard/113/Retinopathy,-arteriosclerotic/resources/1"
114			X-linked Charcot-Marie-Tooth disease type 5	"Charcot-Marie-Tooth Neuropathy X Type 5;CMT5X;CMTX5;Familial opticoacoustic nerve degeneration and polyneuropathy;Optic atrophy, polyneuropathy, and deafness;Optic atrophy, sensorineural hearing loss and polyneuropathy;Rosenberg-Chutorian syndrome"	311070	99014	http://rarediseases.info.nih.gov/gard/114/X-linked-Charcot-Marie-Tooth-disease-type-5/resources/1
115			Sakati syndrome	ACPS 3;ACPS III;ACPS with leg hypoplasia;Acrocephalopolysyndactyly type 3;Sakati-Nyhan syndrome;Sakati-Nyhan-Tisdale syndrome	101120	3128	http://rarediseases.info.nih.gov/gard/115/Sakati-syndrome/resources/1
116			Schindler disease type 1	"Alpha-N-acetylgalactosaminidase deficiency type 1;Alpha-N-acetylgalactosaminidase deficiency, type 1;NAGA deficiency type 1;NAGA deficiency, type 1;Neuroaxonal dystrophy, Schindler type;Schindler disease type I;Schindler disease, type 1"	609241	79279	http://rarediseases.info.nih.gov/gard/116/Schindler-disease-type-1/resources/1
117			Schinzel Giedion syndrome	Schinzel Giedion midface-retraction syndrome;Schinzel-Giedion syndrome;SGS	269150	2462	http://rarediseases.info.nih.gov/gard/117/Schinzel-Giedion-syndrome/resources/1
118			Ulnar-mammary syndrome	Schinzel syndrome;Ulnar-mammary syndrome of Pallister;UMS	181450	3138	http://rarediseases.info.nih.gov/gard/118/Ulnar-mammary-syndrome/resources/1
120			Sennetsu Fever	"Human Ehrlichial infection, Sennetsu type"			http://rarediseases.info.nih.gov/gard/120/Sennetsu-Fever/resources/1
121			Facial ectodermal dysplasia	"Bitemporal forceps marks syndrome;FFDD type 2;FFDD type III;FFDD3;Focal facial dermal dysplasia 3, Setleis type;Focal facial dermal dysplasia type 2;Focal facial dermal dysplasia type III;Setleis syndrome"	227260	1807	http://rarediseases.info.nih.gov/gard/121/Facial-ectodermal-dysplasia/resources/1
122			Singleton Merten syndrome	"Merten-Singleton syndrome;Singleton-Merten dysplasia;Singleton-Merten syndrome;SM syndrome;Syndrome of widened medullary cavities of the metacarpals and phalanges, aortic calcification and abnormal dentition;Widened medullary cavities of bone, aortic calcification, abnormal dentition, and muscular weakness"	182250	85191	http://rarediseases.info.nih.gov/gard/122/Singleton-Merten-syndrome/resources/1
124			Allain-Babin-Demarquez syndrome	Acro cephalo synostosis;Craniosynostosis synostoses hypertensive nephropathy		1526	http://rarediseases.info.nih.gov/gard/124/Allain-Babin-Demarquez-syndrome/resources/1
125			Acrokeratoelastoidosis of Costa	"AKE;Collagenous plaques of hand and feet;Palmoplantar keratoderma, punctate type 3;PPKP3;Punctate palmoplantar hyperkeratosis type 3;Punctate palmoplantar keratoderma type 3"	101850	38	http://rarediseases.info.nih.gov/gard/125/Acrokeratoelastoidosis-of-Costa/resources/1
127			Summitt syndrome	Recessive acrocephalosyndactyly with normal intelligence;Summitt's acrocephalosyndactyly	272350	3210	http://rarediseases.info.nih.gov/gard/127/Summitt-syndrome/resources/1
130			Florid cystic endosalpingiosis of the uterus	Cystic endosalpingiosis of the uterus			http://rarediseases.info.nih.gov/gard/130/Florid-cystic-endosalpingiosis-of-the-uterus/resources/1
131			Myeloid sarcoma	Chloroma (formerly);Erythroid sarcoma (cell type);Granulocytic sarcoma (cell type);Monocytic sarcoma (cell type)			http://rarediseases.info.nih.gov/gard/131/Myeloid-sarcoma/resources/1
132			Amyloidosis primary cutaneous	Amyloid lichen;Amyloidosis 9;Amyloidosis familial cutaneous lichen;Amyloidosis IX;Lichen amyloidosis;Lichen amyloidosis familial;Lichen amyloidosus;PLCA;Primary cutaneous amyloidosis;Primary localized cutaneous amyloidosis	105250	137807;49804	http://rarediseases.info.nih.gov/gard/132/Amyloidosis-primary-cutaneous/resources/1
133			"Aganglionosis, total intestinal"	"Aganglionosis, total colonic;Near-total intestinal aganglionosis;NTIA;Rare form of Hirschsprung's disease;TIA"	202550	99740	"http://rarediseases.info.nih.gov/gard/133/Aganglionosis,-total-intestinal/resources/1"
134			Spondyloepimetaphyseal dysplasia Strudwick type	"Dappled metaphysis syndrome;SMD;SMED Strudwick type;SMED type 1;Spondyloepimetaphyseal dysplasia congenita, Strudwick type;Strudwick syndrome"	184250	93346	http://rarediseases.info.nih.gov/gard/134/Spondyloepimetaphyseal-dysplasia-Strudwick-type/resources/1
136			Dextrocardia with unusual facies and microphthalmia	"Aughton syndrome;Dextrocardia, microphthalmia, cleft palate, choreoathetosis and mental retardation"	221950		http://rarediseases.info.nih.gov/gard/136/Dextrocardia-with-unusual-facies-and-microphthalmia/resources/1
137			Dandy-Walker malformation with nasopharyngeal teratoma and diaphragmatic hernia	Aughton Sloan Milad syndrome			http://rarediseases.info.nih.gov/gard/137/Dandy-Walker-malformation-with-nasopharyngeal-teratoma-and-diaphragmatic-hernia/resources/1
139			"Atrial myxoma, familial"	Familial atrial myxoma;Intracardiac myxoma	255960	615	"http://rarediseases.info.nih.gov/gard/139/Atrial-myxoma,-familial/resources/1"
140			Atresia of small intestine	Congenital atresia of the small intestine;Small intestine atresia		1201	http://rarediseases.info.nih.gov/gard/140/Atresia-of-small-intestine/resources/1
143			Hairy elbows	Hypertrichosis cubiti;Hypertrichosis cubiti - short stature;MacDermot-Patton-Williams syndrome	139600	2220	http://rarediseases.info.nih.gov/gard/143/Hairy-elbows/resources/1
144			Mac Dermot Winter syndrome	Mac Dermot-Winter syndrome;Macdermot-Winter syndrome;Prominent glabella - microcephaly - hypogenitalism;Prominent glabella microcephaly hypogenitalism	247990	2083	http://rarediseases.info.nih.gov/gard/144/Mac-Dermot-Winter-syndrome/resources/1
147			"Macrocephaly, benign familial"	Benign familial macrocephaly;Benign familial megalencephaly;Cole-Hughes syndrome	153470		"http://rarediseases.info.nih.gov/gard/147/Macrocephaly,-benign-familial/resources/1"
148			"Mental retardation, macrocephaly, short stature and craniofacial dysmorphism"	Fryns Dereymaeker Haegeman syndrome	248000		"http://rarediseases.info.nih.gov/gard/148/Mental-retardation,-macrocephaly,-short-stature-and-craniofacial-dysmorphism/resources/1"
149			Prostatic malacoplakia associated with prostatic abscess	Prostatic malacoplakia with prostatic and seminal vesicle abscess			http://rarediseases.info.nih.gov/gard/149/Prostatic-malacoplakia-associated-with-prostatic-abscess/resources/1
150			Sammartino Decreccio syndrome	"Superficial annular corneal dystrophy, ichthyosis nigrans, microcephaly and mild mental subnormality"			http://rarediseases.info.nih.gov/gard/150/Sammartino-Decreccio-syndrome/resources/1
151			Samson Gardner syndrome	"Craniosynostosis, microcephaly, hydrancephaly, humero-radial synostosis, and thumb aplasia"			http://rarediseases.info.nih.gov/gard/151/Samson-Gardner-syndrome/resources/1
152			Samson Viljoen syndrome	"Lateral facial cleft, cleft lip and palate, anophthalmia, microtia, clavicular agenesis and asternia"			http://rarediseases.info.nih.gov/gard/152/Samson-Viljoen-syndrome/resources/1
