GARD:0000004 ! Acanthocheilonemiasis	MESH:D063485 ! Acanthocheilonemiasis
GARD:0000204 ! Dieterich's disease	MESH:C536172 ! Dieterich's disease
GARD:0000207 ! Alveolar echinococcosis	DOID:12148 ! alveolar echinococcosis
GARD:0000208 ! Giant mammary hamartoma	MESH:C536818 ! Giant mammary hamartoma
GARD:0000210 ! Ruzicka Goerz Anton syndrome	MESH:C537192 ! Ruzicka Goerz Anton syndrome
GARD:0000213 ! Axial mesodermal dysplasia spectrum	Orphanet:1834 ! Axial mesodermal dysplasia spectrum
GARD:0000215 ! Rudd Klimek syndrome	Orphanet:1768 ! Familial caudal dysgenesis
GARD:0000223 ! Acoustic neuroma	DOID:12689 ! acoustic neuroma
GARD:0000236 ! Daentl Towsend Siegel syndrome	Orphanet:2186 ! Hydrocephalus - blue sclerae - nephropathy
GARD:0000248 ! Schaap Taylor Baraitser syndrome	Orphanet:1383 ! Cataract - deafness - hypogonadism
GARD:0000253 ! Schwartz Cohen-Addad Lambert syndrome	MESH:C535835 ! Schwartz Cohen-Addad Lambert syndrome
GARD:0000255 ! Schlegelberger Grote syndrome	MESH:C536635 ! Schlegelberger Grote syndrome
GARD:0000256 ! Schrander-Stumpel Theunissen Hulsmans syndrome	MESH:C536639 ! Schrander-Stumpel Theunissen Hulsmans syndrome
GARD:0000280 ! Halal Setton Wang syndrome	Orphanet:1809 ! Hidrotic ectodermal dysplasia, Halal type
GARD:0000281 ! Ramer Ladda syndrome	Orphanet:3266 ! Humero-radio-ulnar synostosis
GARD:0000291 ! Spasticity multiple exostoses	OMIM:158345 ! Multiple Exostoses with Spastic Tetraparesis
GARD:0000303 ! Jeune syndrome situs inversus	MESH:C537572 ! Jeune syndrome situs inversus
GARD:0000309 ! Fibromatosis multiple non ossifying	Orphanet:2029 ! Multiple non-ossifying fibromatosis
GARD:0000311 ! Saal Bulas syndrome	MESH:C537193 ! Saal Bulas syndrome
GARD:0000315 ! Sackey Sakati Aur syndrome	MESH:C537219 ! Sackey Sakati Aur syndrome
GARD:0000317 ! Sacral hemangiomas multiple congenital abnormalities	MESH:C537222 ! Sacral hemangiomas multiple congenital abnormalities
GARD:0000324 ! Slti Salem syndrome	MESH:C536673 ! Slti Salem syndrome
GARD:0000328 ! Wandering spleen	MESH:D050805 ! Wandering Spleen
GARD:0000338 ! Zerres Rietschel Majewski syndrome	MESH:C536724 ! Zerres Rietschel Majewski syndrome
GARD:0000339 ! Zazam Sheriff Phillips syndrome	MESH:C536723 ! Zazam Sheriff Phillips syndrome
GARD:0000340 ! Zadik Barak Levin syndrome	MESH:C536721 ! Zadik Barak Levin syndrome
GARD:0000349 ! Neuroaxonal dystrophy renal tubular acidosis	MESH:C537386 ! Neuroaxonal dystrophy renal tubular acidosis
GARD:0000353 ! Kozlowski Warren Fisher syndrome	MESH:C537614 ! Kozlowski Warren Fisher syndrome
GARD:0000364 ! Arrhinia	Orphanet:1134 ! Arrhinia
GARD:0000366 ! Arnold Stickler Bourne syndrome	MESH:C537431 ! Arnold Stickler Bourne syndrome
GARD:0000392 ! Weinstein Kliman Scully syndrome	MESH:C536688 ! Weinstein Kliman Scully syndrome
GARD:0000393 ! Tungiasis	DOID:0050266 ! tungiasis
GARD:0000396 ! Tularemia	DOID:2123 ! tularemia
GARD:0000398 ! Bagatelle Cassidy syndrome	MESH:C537796 ! Bagatelle Cassidy syndrome
GARD:0000417 ! Aloi Tomasini Isaia syndrome	MESH:C537049 ! Aloi Tomasini Isaia syndrome
GARD:0000422 ! Tunglang Savage Bellman syndrome	Orphanet:3225 ! Hearing loss - familial salivary gland insensitivity to aldosterone
GARD:0000428 ! Webster Deming syndrome	Orphanet:1521 ! Craniofrontonasal dysplasia - Poland anomaly
GARD:0000439 ! Abdominal cystic lymphangioma	MESH:C535553 ! Abdominal cystic lymphangioma
GARD:0000468 ! Acitretin embryopathy	MESH:C538169 ! Acitretin embryopathy
GARD:0000502 ! Acromegaloid hypertrichosis syndrome	Orphanet:966 ! Hypertrichosis-acromegaloid facial appearance syndrome
GARD:0000505 ! Acromesomelic dysplasia Campailla Martinelli type	MESH:C535659 ! Acromesomelic dysplasia Campailla-Martinelli type
GARD:0000517 ! Fetal retinoid syndrome	Orphanet:2305 ! Isotretinoin syndrome
GARD:0000518 ! Acute articular rheumatism	MESH:C538407 ! Acute rheumatism
GARD:0000520 ! Acute erythroblastic leukemia	MESH:D004915 ! Leukemia, Erythroblastic, Acute
GARD:0000524 ! Acute megakaryoblastic leukemia	Orphanet:518 ! Acute megakaryoblastic leukemia
GARD:0000526 ! Acute myeloblastic leukemia type 1	Orphanet:98833 ! Acute myeloblastic leukemia without maturation
GARD:0000527 ! Acute myeloblastic leukemia type 2	Orphanet:98834 ! Acute myeloblastic leukemia with maturation
GARD:0000528 ! Acute myeloblastic leukemia type 3	OMIM:612376 ! acute promyelocytic leukemia
GARD:0000531 ! Acute myeloblastic leukemia type 6	OMIM:133180 ! Acute erythroid leukemia
GARD:0000532 ! Acute myeloblastic leukemia type 7	Orphanet:518 ! Acute megakaryoblastic leukemia
GARD:0000533 ! Acute myeloblastic leukemia with maturation	Orphanet:98834 ! Acute myeloblastic leukemia with maturation
GARD:0000534 ! Acute myeloblastic leukemia without maturation	Orphanet:98833 ! Acute myeloblastic leukemia without maturation
GARD:0000536 ! Acute myelomonocytic leukemia	Orphanet:517 ! Acute myelomonocytic leukemia
GARD:0000577 ! Akaba Hayasaka syndrome	MESH:C535609 ! Akaba Hayasaka syndrome
GARD:0000579 ! Aksu von Stockhausen syndrome	MESH:C535611 ! Aksu von Stockhausen syndrome
GARD:0000581 ! Asrar Facharzt Haque syndrome	MESH:C535391 ! Asrar Facharzt Haque syndrome
GARD:0000586 ! Al Gazali Khidr Prem Chandran syndrome	MESH:C535616 ! Al Gazali Khidr Prem Chandran syndrome
GARD:0000599 ! Fetal Alcohol Spectrum Disorders	DOID:0050696 ! fetal alcohol spectrum disorder
GARD:0000615 ! Alopecia universalis onychodystrophy vitiligo	MESH:C537056 ! Alopecia universalis onychodystrophy vitiligo
GARD:0000616 ! Alpha-2 deficient collagen disease	OMIM:203760 ! Alpha-2-Deficient Collagen Disease
GARD:0000652 ! Amebiasis	DOID:9181 ! amebiasis
GARD:0000654 ! Ampola syndrome	Orphanet:1035 ! Encephalopathy due to beta-mercaptolactate-cysteine disulfiduria
GARD:0000664 ! Thyroid cancer, anaplastic	Orphanet:142 ! Anaplastic thyroid carcinoma
GARD:0000673 ! Angiofollicular lymph hyperplasia	Orphanet:160 ! Castleman disease
GARD:0000683 ! Angiostrongyliasis	DOID:0050256 ! angiostrongyliasis
GARD:0000693 ! Anisakiasis	DOID:7033 ! anisakiasis
GARD:0000717 ! Anophthalmia megalocornea cardiopathy skeletal anomalies	Orphanet:1101 ! Anophthalmia - megalocornea - cardiopathy - skeletal anomalies
GARD:0000730 ! Anti-HLA hyperimmunization	Orphanet:2194 ! Anti-HLA hyperimmunization
GARD:0000735 ! Antisynthetase syndrome	MESH:C537778 ! Antisynthetase syndrome
GARD:0000738 ! Aorta-pulmonary artery fistula	Orphanet:2037 ! Aorta-pulmonary artery fistula
GARD:0000740 ! Aortic arch interruption	OMIM:217095 ! double outlet right ventricle
GARD:0000740 ! Aortic arch interruption	Orphanet:2299 ! Aortic arch interruption
GARD:0000741 ! Aortic arches defect	Orphanet:1132 ! Aortic arch defects
GARD:0000745 ! Aortopulmonary window	Orphanet:2037 ! Aorta-pulmonary artery fistula
GARD:0000749 ! Aplasia cutis autosomal recessive	OMIM:207731 ! Aplasia cutis congenita - intestinal lymphangiectasia
GARD:0000756 ! Aplasia cutis myopia	Orphanet:1117 ! Aplasia cutis - myopia
GARD:0000771 ! Arroyo Garcia Cimadevilla syndrome	MESH:C537439 ! Arroyo Garcia Cimadevilla syndrome
GARD:0000779 ! Arthrogryposis due to muscular dystrophy	Orphanet:1155 ! Arthrogryposis due to muscular dystrophy
GARD:0000781 ! Arthrogryposis epileptic seizures migrational brain disorder	MESH:C537442 ! Arthrogryposis epileptic seizures migrational brain disorder
GARD:0000791 ! Arthrogryposis multiplex congenita pulmonary hypoplasia	OMIM:208150 ! Pena Shokeir syndrome, type 1
GARD:0000791 ! Arthrogryposis multiplex congenita pulmonary hypoplasia	Orphanet:994 ! Fetal akinesia deformation sequence
GARD:0000795 ! Arthrogryposis spinal muscular atrophy	OMIM:301830 ! X-linked distal arthrogryposis multiplex congenita
GARD:0000799 ! Ataxia telangiectasia variant V1	OMIM:251260 ! Nijmegen breakage syndrome
GARD:0000802 ! Atrioventricular septal defect	DOID:0050651 ! atrioventricular septal defect
GARD:0000802 ! Atrioventricular septal defect	OMIM:606215 ! Atrioventricular Septal Defect
GARD:0000808 ! Baker Vinters syndrome	MESH:C537899 ! Baker Vinters syndrome
GARD:0000833 ! Basaran Yilmaz syndrome	MESH:C537660 ! Basaran Yilmaz syndrome
GARD:0000835 ! Bassoe syndrome	OMIM:254000 ! Congenital muscular dystrophy - infantile cataract - hypogonadism
GARD:0000852 ! Ben Ari Shuper Mimouni syndrome	Orphanet:1492 ! Corpus callosum agenesis - double urinary collecting system
GARD:0000857 ! Benign familial infantile epilepsy	DOID:0060169 ! benign familial infantile epilepsy
GARD:0000867 ! Berylliosis	DOID:10322 ! berylliosis
GARD:0000875 ! Bhaskar Jagannathan syndrome	MESH:C535437 ! Bhaskar Jagannathan syndrome
GARD:0000878 ! Bidirectional tachycardia	MESH:C535438 ! Bidirectional tachycardia
GARD:0000943 ! Botulism	DOID:11976 ! botulism
GARD:0000945 ! Boudhina Yedes Khiari syndrome	MESH:C537939 ! Boudhina Yedes Khiari syndrome
GARD:0000953 ! Bowing of long bones congenital	Orphanet:2292 ! Congenital bowing of long bones
GARD:0000954 ! Boylan Dew Greco syndrome	MESH:C537083 ! Boylan Dew Greco syndrome
GARD:0000966 ! Brachydactyly elbow wrist dysplasia	OMIM:186550 ! Brachydactyly - elbow wrist dysplasia
GARD:0000989 ! Brachymesophalangy type 2	OMIM:112600 ! Brachydactyly type A2
GARD:0000992 ! Brachymetapody anodontia hypotrichosis albinoidism	OMIM:211370 ! Oculoosteocutaneous syndrome
GARD:0000998 ! Braddock Jones Superneau syndrome	Orphanet:1538 ! Craniosynostosis - Dandy-Walker malformation - hydrocephalus
GARD:0001032 ! Brunoni syndrome	MESH:C537408 ! Brunoni syndrome
GARD:0001055 ! Calloso-genital dysplasia	MESH:C537962 ! Calloso-genital dysplasia
GARD:0001063 ! Camptocormism	Orphanet:1320 ! Camptocormia
GARD:0001065 ! Camptodactyly joint contractures and facial skeletal dysplasia	MESH:C537969 ! Camptodactyly joint contractures and facial skeletal dysplasia
GARD:0001070 ! Camptodactyly vertebral fusion	MESH:C537973 ! Camptodactyly vertebral fusion
GARD:0001076 ! Systemic candidiasis	DOID:1508 ! candidiasis
GARD:0001078 ! Cantalamessa Baldini Ambrosi syndrome	Orphanet:2233 ! Hypogonadism - mitral valve prolapse - intellectual disability
GARD:0001081 ! Cantu Sanchez-Corona Fragoso syndrome	MESH:C535571 ! Cantu Sanchez-Corona Fragoso syndrome
GARD:0001091 ! Squamous cell carcinoma	DOID:0050865 ! tongue squamous cell carcinoma
GARD:0001091 ! Squamous cell carcinoma	DOID:1749 ! squamous cell carcinoma
GARD:0001094 ! Cardiac diverticulum	Orphanet:1686 ! Cardiac diverticulum
GARD:0001104 ! Cardiomyopathy dilated with conduction defect type 1	OMIM:115200 ! Cardiomyopathy, Dilated, 1A
GARD:0001117 ! Carnevale Hernandez Castillo syndrome	MESH:C535585 ! Carnevale Hernandez Castillo syndrome
GARD:0001130 ! Carrington syndrome	MESH:C535590 ! Carrington syndrome
GARD:0001132 ! Cartwright Nelson Fryns syndrome	MESH:C535917 ! Cartwright Nelson Fryns syndrome
GARD:0001133 ! Stocco dos Santos syndrome	OMIM:300434 ! Stocco dos Santos syndrome
GARD:0001152 ! Cataract hypertrichosis mental retardation	OMIM:211770 ! Cataract - hypertrichosis - intellectual disability
GARD:0001154 ! Cataract mental retardation hypogonadism	OMIM:212720 ! Cataract - intellectual disability - hypogonadism
GARD:0001160 ! Cataract-glaucoma	Orphanet:162 ! Cataract-glaucoma
GARD:0001164 ! Caudal duplication	OMIM:607864 ! Caudal duplication
GARD:0001167 ! Ccge syndrome	OMIM:600460 ! Acro-cardio-facial syndrome
GARD:0001193 ! Subacute cerebellar degeneration	MESH:C535352 ! Cerebellar degeneration, subacute
GARD:0001266 ! Ho Kaufman Mcalister syndrome	MESH:C538325 ! Ho Kaufman Mcalister syndrome
GARD:0001275 ! Dandy-Walker malformation associated with macrocephaly, facial anomalies, developmental delay, and brain stem dysgenesis	MESH:C535927 ! Chitayat Moore Del Bigio syndrome
GARD:0001277 ! Chitty Hall Webb syndrome	Orphanet:3331 ! Bowed tibiae  - radial anomalies - osteopenia - fractures
GARD:0001294 ! Chondrodysplasia lethal recessive	Orphanet:1423 ! Lethal recessive chondrodysplasia
GARD:0001312 ! Choroideremia hypopituitarism	Orphanet:1434 ! Choroideremia - hypopituitarism
GARD:0001333 ! Ring chromosome 19	Orphanet:1443 ! Ring chromosome 19
GARD:0001360 ! Ciliary discoordination, due to random ciliary orientation	OMIM:215518 ! Ciliary Discoordination Due To Random Ciliary Orientation
GARD:0001365 ! Circumscribed cutaneous aplasia of the vertex	Orphanet:1114 ! Circumscribed cutaneous aplasia of the vertex
GARD:0001391 ! Cleft palate lateral synechia syndrome	OMIM:119550 ! Cleft palate-lateral synechia syndrome
GARD:0001400 ! Cloacal exstrophy	OMIM:258040 ! Cloacal exstrophy
GARD:0001409 ! CMV antenatal infection	Orphanet:294 ! Fetal cytomegalovirus syndrome
GARD:0001413 ! Cocaine antenatal infection	Orphanet:1911 ! Cocaine embryofetopathy
GARD:0001421 ! Cogan's syndrome	DOID:0060216 ! Cogan syndrome
GARD:0001422 ! Cohen Hayden syndrome	OMIM:158350 ! Proteus-like syndrome
GARD:0001430 ! Coloboma chorioretinal cerebellar vermis aplasia	OMIM:243910 ! Arima syndrome
GARD:0001432 ! Retinochoroidal coloboma	Orphanet:98942 ! Coloboma of choroid and retina
GARD:0001433 ! Coloboma of eye lens	Orphanet:98943 ! Coloboma of eye lens
GARD:0001434 ! Coloboma of iris	Orphanet:98944 ! Coloboma of iris
GARD:0001438 ! Coloboma of optic papilla	Orphanet:98947 ! Coloboma of optic papilla
GARD:0001446 ! Colonic atresia	OMIM:303650 ! Colonic atresia
GARD:0001454 ! Complete atrioventricular canal	Orphanet:1329 ! Complete atrioventricular canal
GARD:0001471 ! Congenital amputation	OMIM:217100 ! Terminal Transverse Defects of Arm
GARD:0001475 ! Congenital bronchobiliary fistula	Orphanet:2040 ! Congenital bronchobiliary fistula
GARD:0001488 ! Congenital hypotrichosis milia	Orphanet:79458 ! Oley syndrome
GARD:0001489 ! Congenital ichthyosis, microcephalus, quadriplegia	Orphanet:2271 ! Congenital ichthyosis - microcephalus - tetraplegia
GARD:0001493 ! Congenital mesoblastic nephroma	DOID:4773 ! congenital mesoblastic nephroma
GARD:0001495 ! Congenital mitral malformation	Orphanet:2447 ! Congenital mitral malformation
GARD:0001496 ! Congenital mitral stenosis	Orphanet:99057 ! Congenital mitral stenosis
GARD:0001502 ! Short bowel syndrome	DOID:10605 ! short bowel syndrome
GARD:0001512 ! Continuous muscle fiber activity hereditary	OMIM:160120 ! Continuous Muscle Fiber Activity, Hereditary
GARD:0001512 ! Continuous muscle fiber activity hereditary	Orphanet:972 ! Hereditary continuous muscle fiber activity
GARD:0001513 ! Continuous spike-wave during slow sleep syndrome	OMIM:245570 ! Rolandic Epilepsy, Mental Retardation, And Speech Dyspraxia, Autosomal Dominant
GARD:0001532 ! Coronal synostosis, syndactyly and jejunal atresia	MESH:C536445 ! Coronal synostosis, syndactyly and jejunal atresia
GARD:0001533 ! Coronaro-cardiac fistula	Orphanet:2041 ! Coronary arterial fistulas
GARD:0001534 ! Coronary arteries congenital malformation	Orphanet:1081 ! Coronary artery congenital malformation
GARD:0001558 ! Coxoauricular syndrome	OMIM:122780 ! Coxoauricular syndrome
GARD:0001564 ! Cranio osteoarthropathy	OMIM:259100 ! Hypertrophic Osteoarthropathy, Primary, Autosomal Recessive, 1
GARD:0001564 ! Cranio osteoarthropathy	Orphanet:1525 ! Cranio-osteoarthropathy
GARD:0001583 ! Craniomicromelic syndrome	OMIM:602558 ! Craniomicromelic syndrome
GARD:0001586 ! Craniosynostosis alopecia brain defect	OMIM:601853 ! GC3mez-LC3pez-Hern
GARD:0001599 ! Craniosynostosis mental retardation clefting syndrome	OMIM:218650 ! Craniosynostosis Mental Retardation Clefting Syndrome
GARD:0001601 ! Craniosynostosis Philadelphia type	OMIM:185900 ! Craniosynostosis, Philadelphia Type
GARD:0001601 ! Craniosynostosis Philadelphia type	Orphanet:1527 ! Craniosynostosis, Philadelphia type
GARD:0001616 ! Crossed polydactyly type 1	OMIM:174700 ! Polysyndactyly
GARD:0001617 ! Crossed polysyndactyly	OMIM:175690 ! Crossed polysyndactyly
GARD:0001629 ! Cutaneous larva migrans	Orphanet:504 ! Creeping myiasis
GARD:0001631 ! Cushing syndrome, familial	DOID:12252 ! Cushing's syndrome
GARD:0001644 ! Cutis verticis gyrata mental deficiency	MESH:C565661 ! Cutis Verticis Gyrata and Mental Deficiency
GARD:0001646 ! Cutler Bass Romshe syndrome	Orphanet:3327 ! Thyrocerebrorenal syndrome
GARD:0001657 ! Cytomegalic inclusion disease	MESH:C538505 ! Cytomegalic inclusion body disease
GARD:0001674 ! Davis Lafer syndrome	MESH:C535989 ! Davis Lafer syndrome
GARD:0001680 ! Frints De Smet Fabry Fryns syndrome	MESH:C538062 ! Frints De Smet Fabry Fryns syndrome
GARD:0001684 ! Deafness conductive stapedial ear malformation facial palsy	OMIM:124490 ! Deafness, Conductive Stapedial, with Ear Malformation and Facial Palsy
GARD:0001686 ! Deafness craniofacial syndrome	OMIM:125230 ! Deafness-craniofacial syndrome
GARD:0001694 ! Deafness mixed with perilymphatic Gusher, X-linked	OMIM:304400 ! X-linked mixed deafness with perilymphatic gusher
GARD:0001696 ! Isolated growth hormone deficiency type 2	OMIM:173100 ! Isolated Growth Hormone Deficiency, Type II
GARD:0001717 ! Deal Barratt Dillon syndrome	MESH:C538206 ! Deal Barratt Dillon syndrome
GARD:0001720 ! Defective apolipoprotein B-100	OMIM:144010 ! Hypercholesterolemia due to arg3500 mutation of Apo B-100
GARD:0001735 ! Chromosome 11q deletion	OMIM:147791 ! Jacobsen syndrome
GARD:0001738 ! Chromosome 13q deletion	OMIM:613884 ! 13q deletion syndrome
GARD:0001798 ! Delta-1-pyrroline-5-carboxylate dehydrogenase deficiency	OMIM:239510 ! Hyperprolinemia type 2
GARD:0001799 ! Delta-sarcoglycanopathy	OMIM:601287 ! Autosomal recessive limb-girdle muscular dystrophy type 2F
GARD:0001802 ! Demodicidosis	Orphanet:283 ! Demodicidosis
GARD:0001827 ! Dextrocardia	DOID:9565 ! dextrocardia
GARD:0001851 ! Split cord malformation	OMIM:222500 ! Diastematomyelia
GARD:0001853 ! Dibasic aminoaciduria 2	OMIM:222700 ! Lysinuric protein intolerance
GARD:0001861 ! Diffuse neonatal hemangiomatosis	Orphanet:2123 ! Diffuse neonatal hemangiomatosis
GARD:0001874 ! Diphosphoglycerate mutase deficiency of erythrocyte	OMIM:222800 ! Bisphosphoglycerate Mutase Deficiency
GARD:0001875 ! Diphtheria	DOID:11405 ! diphtheria
GARD:0001878 ! Chromosome 1, uniparental disomy 1q12 q21	MESH:C538085 ! Chromosome 1, uniparental disomy 1q12 q21
GARD:0001883 ! Dissecting cellulitis of the scalp	OMIM:260910 ! Dissecting cellulitis of the scalp
GARD:0001889 ! Distal primary acidosis, familial	Orphanet:18 ! Distal renal tubular acidosis
GARD:0001891 ! Distomatosis	Orphanet:1685 ! Distomatosis
GARD:0001907 ! Double outlet left ventricle	Orphanet:3427 ! Double outlet left ventricle
GARD:0001908 ! Double outlet right ventricle	OMIM:217095 ! double outlet right ventricle
GARD:0001910 ! Double uterus-hemivagina-renal agenesis	Orphanet:3411 ! Double uterus - hemivagina - renal agenesis
GARD:0001913 ! Drachtman Weinblatt Sitarz syndrome	MESH:C535603 ! Drachtman Weinblatt Sitarz syndrome
GARD:0001918 ! Duker Weiss Siber syndrome	MESH:C535719 ! Duker Weiss Siber syndrome
GARD:0001976 ! Duplication of leg mirror foot	Orphanet:1757 ! Fibular dimelia - diplopodia
GARD:0001988 ! Dwarfism	MESH:D004392 ! Dwarfism
GARD:0002009 ! Dysmorphism cleft palate loose skin	Orphanet:1779 ! Dysmorphism - cleft palate - loose skin
GARD:0002013 ! Dysostosis acral with facial and genital abnormalities	DOID:0060254 ! Robinow syndrome
GARD:0002013 ! Dysostosis acral with facial and genital abnormalities	OMIM:180700 ! Robinow Syndrome, Autosomal Dominant 1
GARD:0002015 ! Dysostosis peripheral	OMIM:170700 ! Peripheral dysostosis
GARD:0002022 ! Dysplastic cortical hyperostosis	Orphanet:2204 ! Dysplastic cortical hyperostosis
GARD:0002031 ! Dystrophinopathy	Orphanet:207085 ! Qualitative or quantitative defects of dystrophin
GARD:0002035 ! Ebola virus disease	DOID:4325 ! Ebola hemorrhagic fever
GARD:0002044 ! Ectodermal dysplasia Berlin type	Orphanet:1816 ! Ectodermal dysplasia, Berlin type
GARD:0002045 ! Ectodermal dysplasia blindness	Orphanet:1806 ! Ectodermal dysplasia - blindness
GARD:0002048 ! Hypohidrotic ectodermal dysplasia autosomal dominant	OMIM:129490 ! Ectodermal Dysplasia 3, Anhidrotic
GARD:0002048 ! Hypohidrotic ectodermal dysplasia autosomal dominant	OMIM:614940 ! Ectodermal Dysplasia 11A, Hypohidrotic/Hair/Tooth Type, Autosomal Dominant
GARD:0002048 ! Hypohidrotic ectodermal dysplasia autosomal dominant	Orphanet:1810 ! Autosomal dominant hypohidrotic ectodermal dysplasia
GARD:0002053 ! Ectodermal dysplasia neurosensory deafness	OMIM:224800 ! Ectodermal Dysplasia and Neurosensory Deafness
GARD:0002063 ! Ectrodactyly cardiopathy dysmorphism	MESH:C536187 ! Ectrodactyly cardiopathy dysmorphism
GARD:0002074 ! Edinburgh malformation syndrome	OMIM:129850 ! Edinburgh Malformation Syndrome
GARD:0002092 ! Ehrlichiosis	DOID:10242 ! ehrlichiosis
GARD:0002099 ! Emerinopathy	Orphanet:98863 ! X-linked Emery-Dreifuss muscular dystrophy
GARD:0002117 ! Encephalopathy recurrent of childhood	OMIM:130950 ! Neuhauser Eichner Opitz syndrome
GARD:0002121 ! Endomyocardial fibroelastosis	Orphanet:2022 ! Endomyocardial fibroelastosis
GARD:0002128 ! Enolase deficiency type 3	OMIM:612932 ! Glycogen Storage Disease XIII
GARD:0002130 ! Enterovirus antenatal infection	Orphanet:292 ! Congenital enterovirus infection
GARD:0002131 ! Envenomization by bothrops lanceolatus	Orphanet:1939 ! Envenomization by Bothrops lanceolatus
GARD:0002173 ! Epilepsy, partial, familial	DOID:2234 ! focal epilepsy
GARD:0002188 ! Erosive pustular dermatosis of the scalp	Orphanet:222 ! Erosive pustular dermatosis of the scalp
GARD:0002197 ! Esthesioneuroblastoma	DOID:369 ! olfactory neuroblastoma
GARD:0002202 ! Exostoses anetodermia brachydactyly type E	OMIM:133690 ! Exostoses - anetodermia - brachydactyly type E
GARD:0002205 ! Exostoses, multiple, type 2	OMIM:133701 ! Exostoses, Multiple, Type 2
GARD:0002222 ! Dandy-Walker malformation with mental retardation, macrocephaly, myopia and brachytelephalangy	OMIM:220219 ! Dandy-walker malformation with mental retardation, macrocephaly, myopia, and brachytelephalangy
GARD:0002229 ! Faciocardiomelic dysplasia lethal	OMIM:227270 ! Lethal faciocardiomelic dysplasia
GARD:0002241 ! Factor XI deficiency, congenital	OMIM:612416 ! factor XI deficiency
GARD:0002251 ! Familial hypertension	DOID:10763 ! hypertension
GARD:0002252 ! Familial hypopituitarism	DOID:9406 ! hypopituitarism
GARD:0002254 ! Familial nasal acilia	Orphanet:922 ! Familial nasal acilia
GARD:0002259 ! Supernumerary nipples	OMIM:163700 ! Familial supernumerary nipples
GARD:0002273 ! Fara Chlupackova syndrome	MESH:C537074 ! Fara Chlupackova syndrome
