?c	?clabel	?d	?dlabel
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6526>	"Perineural Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45749>	"Cardiac Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3926>	"Angioma Serpiginosum"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4920>	"Retinal Capillary Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42065>	"Mature Ganglioneuroma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3716>	"Primitive Neuroectodermal Tumor"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42065>	"Mature Ganglioneuroma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3264>	"Embryonal Neoplasm"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34967>	"Lobular Capillary Hemangioma of Skin and Subcutaneous Tissue"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66807>	"Benign Intraocular Medulloepithelioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3264>	"Embryonal Neoplasm"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45750>	"Cardiac Cavernous Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42064>	"Maturing Ganglioneuroma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3716>	"Primitive Neuroectodermal Tumor"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42064>	"Maturing Ganglioneuroma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3264>	"Embryonal Neoplasm"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7741>	"Digestive System Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4299>	"Verrucous Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3739>	"Benign Fibrous Histiocytoma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35765>	"Histiocytoma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7739>	"Brain Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4754>	"Spindle Cell Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4562>	"Choroid Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4486>	"Blue Rubber Bleb Nevus"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4905>	"Skin Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5433>	"Cerebral Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7457>	"Capillary Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4545>	"Orbit Capillary Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C96840>	"Liver Infantile Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3699>	"Intramuscular Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3841>	"Congenital Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3633>	"Intracranial Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C96839>	"Liver Cavernous Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4298>	"Epithelioid Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66804>	"Ganglioneuromatosis"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3716>	"Primitive Neuroectodermal Tumor"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66804>	"Ganglioneuromatosis"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3264>	"Embryonal Neoplasm"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4921>	"Retinal Cavernous Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4372>	"Cherry Hemangioma of Lip"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6801>	"Cutaneous Fibrous Histiocytoma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35765>	"Histiocytoma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4390>	"Cherry Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66809>	"Benign Intraocular Teratoid Medulloepithelioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3264>	"Embryonal Neoplasm"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5427>	"Retroperitoneal Ganglioneuroma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3716>	"Primitive Neuroectodermal Tumor"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5427>	"Retroperitoneal Ganglioneuroma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3264>	"Embryonal Neoplasm"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5396>	"Bone Epithelioid Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5353>	"Breast Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7744>	"Mucous Membrane Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8540>	"Subcutaneous Tissue Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7042>	"Colon Ganglioneuroma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3716>	"Primitive Neuroectodermal Tumor"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7042>	"Colon Ganglioneuroma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3264>	"Embryonal Neoplasm"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27018>	"Acquired Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6387>	"Scrotal Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45751>	"Cardiac Capillary Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4831>	"Gingival Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4750>	"Skin Cavernous Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3480>	"Lobular Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3049>	"Ganglioneuroma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3716>	"Primitive Neuroectodermal Tumor"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3049>	"Ganglioneuroma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3264>	"Embryonal Neoplasm"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27777>	"Giant Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41249>	"Pancreatic Intraductal Papillary-Mucinous Neoplasm with Low Grade Dysplasia"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3646>	"Neoplasm of Uncertain Malignant Potential"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3634>	"Retinal Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7004>	"Hemangioma of the Central Nervous System"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6245>	"Orbit Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4357>	"Eyelid Capillary Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49078>	"Cutaneous Fibrous Histiocytoma, Cellular Variant"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35765>	"Histiocytoma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27507>	"Hemangioma of Peripheral Nerve"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49079>	"Cutaneous Fibrous Histiocytoma, Epithelioid Variant"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35765>	"Histiocytoma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8541>	"Splenic Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6026>	"Subglottic Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6645>	"Infantile Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6632>	"Mediastinal Ganglioneuroma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3716>	"Primitive Neuroectodermal Tumor"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6632>	"Mediastinal Ganglioneuroma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3264>	"Embryonal Neoplasm"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5397>	"Parotid Gland Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5481>	"Gastric Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4868>	"Placental Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
